# Clasificacion de cada fichero del repositorio, segun EFFORT.md.
# Columnas separadas por tabulador:
#   ruta	clase	origen	motivo
# clase:  aparato | analisis
# origen: propio (escrito en este repositorio) | extraido (traido de una fuente externa)
PREREGISTRATION.md	aparato	propio	documentacion de proceso, no produce resultados
CONTACT-RULES.md	aparato	propio	documentacion de proceso
EFFORT.md	aparato	propio	documentacion de proceso
.gitignore	aparato	propio	infraestructura
effort/README.md	aparato	propio	documentacion del instrumento
effort/classification.tsv	aparato	propio	el propio instrumento
effort/log.jsonl	aparato	propio	salida del instrumento, no del objeto de estudio
tools/effort.py	aparato	propio	tooling de registro
tools/extract_sequences.py	aparato	propio	extraccion y trazabilidad, no computa nada del objeto de estudio
src/measure.py	analisis	propio	produce los resultados sobre el objeto de estudio
data/sequences.json	analisis	extraido	el dato recibido, no escrito aqui
data/PROVENANCE.md	aparato	propio	trazabilidad de la extraccion
results/measurements.tsv	analisis	propio	salida del analisis
results/permutations.txt	analisis	propio	salida del analisis
DEFINICIONES-GRUPO.md	aparato	propio	documentacion de proceso, declara la nocion antes de enumerar
INFORME.md	analisis	propio	lectura de los resultados sobre el objeto de estudio
src/group.py	analisis	propio	produce los resultados sobre el objeto de estudio
results/group-measurements.tsv	analisis	propio	salida del analisis
results/group-structure.txt	analisis	propio	salida del analisis
INFORME-GRUPO.md	analisis	propio	lectura de los resultados sobre el objeto de estudio
src/proofs.py	analisis	propio	comprobadores de las demostraciones
results/proofs.tsv	analisis	propio	salida de los comprobadores
results/certificates.txt	analisis	propio	testigos del Lema 2, uno por orbita
PROOFS.md	analisis	propio	demostraciones y declaracion de lo enumerativo
results/certificate-mwd-01.txt	analisis	propio	certificado del Lema 3 para la clase (0,1)
NAME.md	aparato	propio	comprobacion de termino y deslinde del nombre
src/gray.py	analisis	propio	ordenacion de comparacion y su contabilidad
results/gray-measurements.tsv	analisis	propio	salida del analisis
INFORME-GRAY.md	analisis	propio	lectura de los resultados de la ordenacion de comparacion
artifacts/radisic-2601.07175v3-appendix-A.tsv	aparato	extraido	transcripcion de artefacto, objeto de comparacion, no fuente de datos
src/corroborate.py	aparato	propio	cotejo contra artefacto, no computa resultados
results/corroboration.tsv	aparato	propio	salida del cotejo
