# Congelador de cifras del manuscrito.
# clave	valor	nota
declaradas.00-abstract.md	11	
declaradas.01-introduction.md	0	
declaradas.02-preliminaries.md	4	
declaradas.03-orbit-accounting.md	5	
declaradas.04-parity-obstruction.md	8	
declaradas.05-characterisation.md	8	
declaradas.06-three-historical-orderings.md	43	
declaradas.07-landscape.md	35	
declaradas.08-open-problems.md	9	
declaradas.09-verification.md	0	
declaraciones.totales	162	
derivadas.comprobadas	6	cifras que el texto obtiene con una cuenta a la vista
constantes.aritmeticas.en.derivadas	1	digitos sueltos que son la operacion y no una cifra publicable
cifras.impresas.en.la.prosa	192	
enmascaradas.titulo.de.seccion	58	el numero de un encabezado es el de la seccion, no una medicion
enmascaradas.cita.verbatim	1	linea de cita literal de otro autor: sus cifras no son nuestras
enmascaradas.identificador.bibliografico	6	identificador de un artefacto, no una medicion
enmascaradas.referencia.cruzada	65	puntero interno o a otro texto, no una medicion
enmascaradas.simbolo	70	la cifra es parte de un simbolo matematico, no una medicion
enmascaradas.indice	38	indice, coordenada o dimension nombrada, no una medicion
enmascaradas.indice.de.tabla	15	las columnas n y k de una fila de tabla son indices, no mediciones
enmascaradas.recuento.de.filas	4	numero de filas de una tabla impresa en la propia seccion: el lector lo cuenta en la pagina, no sale de results
enmascaradas.fecha	1	fecha de publicacion, no una medicion
enmascaradas.grado	1	medida angular de una simetria descrita en palabras
el.cotejo.pasa.en.vacio	0	si vale uno, el comprobador no ha comprobado nada
desajustes	0	
toda.cifra.impresa.sale.de.results	1	
