# Elevacion a teorema de las formas de la tabla general.
# clave	valor	nota
p1.n3.k1.ordenaciones.recorridas	40320	
p1.n3.k1.ordenaciones.forzadas	472	
p1.n3.k1.testigo.forzado	0 1 6 7 3 2 5 4	primera ordenacion forzada encontrada, en orden de recorrido
p1.n3.k1.perfil.d0_0.peso_1.tamano	8	
p1.n3.k1.perfil.d0_0.peso_1.mitad	4	
p1.n3.k1.perfil.d0_0.peso_1.c.par	38528	veces que c salio par
p1.n3.k1.perfil.d0_0.peso_1.c.impar	30336	veces que c salio impar
p1.n3.k1.perfil.d0_0.peso_1.veces.forzada	25792	
p1.n3.k1.perfil.d0_0.peso_2.tamano	4	
p1.n3.k1.perfil.d0_0.peso_2.mitad	2	
p1.n3.k1.perfil.d0_0.peso_2.c.par	1984	veces que c salio par
p1.n3.k1.perfil.d0_0.peso_2.c.impar	1728	veces que c salio impar
p1.n3.k1.perfil.d0_0.peso_2.veces.forzada	1488	
p1.n3.k1.perfil.d0_1.peso_0.tamano	4	
p1.n3.k1.perfil.d0_1.peso_0.mitad	2	
p1.n3.k1.perfil.d0_1.peso_0.c.par	53568	veces que c salio par
p1.n3.k1.perfil.d0_1.peso_0.c.impar	53568	veces que c salio impar
p1.n3.k1.perfil.d0_1.peso_0.veces.forzada	32192	
p1.n3.k1.perfil.d0_1.peso_1.tamano	8	
p1.n3.k1.perfil.d0_1.peso_1.mitad	4	
p1.n3.k1.perfil.d0_1.peso_1.c.par	10624	veces que c salio par
p1.n3.k1.perfil.d0_1.peso_1.c.impar	10112	veces que c salio impar
p1.n3.k1.perfil.d0_1.peso_1.veces.forzada	7296	
p1.n3.k1.perfil.d0_1.peso_2.tamano	4	
p1.n3.k1.perfil.d0_1.peso_2.mitad	2	
p1.n3.k1.perfil.d0_1.peso_2.c.par	576	veces que c salio par
p1.n3.k1.perfil.d0_1.peso_2.c.impar	576	veces que c salio impar
p1.n3.k1.perfil.d0_1.peso_2.veces.forzada	432	
p1.n3.k1.modo	enumeracion entera de las 40320 ordenaciones	
p1.n3.k1.la.conjetura.de.los.extremos.se.sostiene	0	cero seria que ninguna ordenacion queda forzada
p1.n3.k2.ordenaciones.recorridas	40320	
p1.n3.k2.ordenaciones.forzadas	600	
p1.n3.k2.testigo.forzado	0 1 6 7 3 2 5 4	primera ordenacion forzada encontrada, en orden de recorrido
p1.n3.k2.perfil.d0_0.peso_1.tamano	4	
p1.n3.k2.perfil.d0_0.peso_1.mitad	2	
p1.n3.k2.perfil.d0_0.peso_1.c.par	38528	veces que c salio par
p1.n3.k2.perfil.d0_0.peso_1.c.impar	30336	veces que c salio impar
p1.n3.k2.perfil.d0_0.peso_1.veces.forzada	27552	
p1.n3.k2.perfil.d0_0.peso_2.tamano	4	
p1.n3.k2.perfil.d0_0.peso_2.mitad	2	
p1.n3.k2.perfil.d0_0.peso_2.c.par	1984	veces que c salio par
p1.n3.k2.perfil.d0_0.peso_2.c.impar	1728	veces que c salio impar
