# Cada linea es una cifra medida en esta ejecucion.
# clave	valor	nota
fuente.commit	d6afae20bbefba56728251f34f8e3870c43e2cbd	sin cambios respecto del commit de la medicion
familia.afin.tamano	46080	permutacion de las seis lineas mas mascara
grupo.R1.Mawangdui.orden	2304	aplicaciones afines que mandan cada octeto entero sobre un octeto
grupo.R1.Mawangdui.generadores	10	conjunto generador hallado por avidez
grupo.R2.Mawangdui.orden	1	ademas conservan el indice dentro del bloque
grupo.R2.Mawangdui.generadores	0	conjunto generador hallado por avidez
grupo.R1.Mawangdui.contiene.la.complementacion	1	
grupo.R2.Mawangdui.contiene.la.complementacion	0	
grupo.R1.Mawangdui.contiene.el.giro	0	
grupo.R1.Mawangdui.involuciones	399	para poder comparar con la cifra del commit anterior
grupo.R1.JingFang.orden	8	aplicaciones afines que mandan cada palacio entero sobre un palacio
grupo.R1.JingFang.generadores	3	conjunto generador hallado por avidez
grupo.R2.JingFang.orden	8	ademas conservan el indice dentro del bloque
grupo.R2.JingFang.generadores	3	conjunto generador hallado por avidez
grupo.R1.JingFang.contiene.la.complementacion	1	
grupo.R2.JingFang.contiene.la.complementacion	1	
grupo.R1.JingFang.contiene.el.giro	0	
grupo.R1.JingFang.involuciones	7	para poder comparar con la cifra del commit anterior
grupo.R1.KingWen.orden	384	aplicaciones afines que mandan cada par entero sobre un par
grupo.R1.KingWen.generadores	6	conjunto generador hallado por avidez
grupo.R2.KingWen.orden	1	ademas conservan el indice dentro del bloque
grupo.R2.KingWen.generadores	0	conjunto generador hallado por avidez
grupo.R1.KingWen.contiene.la.complementacion	1	
grupo.R2.KingWen.contiene.la.complementacion	0	
grupo.R1.KingWen.contiene.el.giro	1	
grupo.R1.KingWen.involuciones	111	para poder comparar con la cifra del commit anterior
valor.esperado.por.azar	1008	C(64,2) partido por dos
cuenta.solo.complementacion.Mawangdui.orbitas	1024	
cuenta.solo.complementacion.Mawangdui.orbitas_forzadas	484	
cuenta.solo.complementacion.Mawangdui.orbitas_libres	540	
cuenta.solo.complementacion.Mawangdui.orbitas_de_tamano_impar	32	
cuenta.solo.complementacion.Mawangdui.aportacion_forzada	484	
cuenta.solo.complementacion.Mawangdui.aportacion_libre_observada	524	
cuenta.solo.complementacion.Mawangdui.minimo	484	
cuenta.solo.complementacion.Mawangdui.maximo	1532	
cuenta.solo.complementacion.Mawangdui.observado	1008	
cuenta.solo.complementacion.Mawangdui.anchura	1048	
cuenta.solo.complementacion.Mawangdui.orbita_mayor	2	
cuenta.solo.complementacion.Mawangdui.totales_alcanzables	1049	
cuenta.solo.complementacion.Mawangdui.esperado_alcanzable	1	
cuenta.solo.complementacion.Mawangdui.paridades_alcanzables	2	
cuenta.solo.complementacion.Mawangdui.paridad_forzada	0	
cuenta.solo.complementacion.Mawangdui.alcanzable_mas_cercano_al_esperado	1008	
cuenta.solo.complementacion.Mawangdui.desviacion_minima_posible	0	
cuenta.solo.complementacion.Mawangdui.fuerza.el.empate	0	criterio declarado: minimo y maximo coinciden en el valor esperado
cuenta.solo.complementacion.Mawangdui.comprobacion.epsilon	4032	comprobaciones par por elemento, sobre 2 elementos del grupo de 2
cuenta.R1.Mawangdui.orbitas	15	
cuenta.R1.Mawangdui.orbitas_forzadas	15	
cuenta.R1.Mawangdui.orbitas_libres	0	
cuenta.R1.Mawangdui.orbitas_de_tamano_impar	0	
cuenta.R1.Mawangdui.aportacion_forzada	1008	
cuenta.R1.Mawangdui.aportacion_libre_observada	0	
cuenta.R1.Mawangdui.minimo	1008	
cuenta.R1.Mawangdui.maximo	1008	
cuenta.R1.Mawangdui.observado	1008	
cuenta.R1.Mawangdui.anchura	0	
cuenta.R1.Mawangdui.orbita_mayor	288	
cuenta.R1.Mawangdui.totales_alcanzables	1	
cuenta.R1.Mawangdui.esperado_alcanzable	1	
cuenta.R1.Mawangdui.paridades_alcanzables	1	
cuenta.R1.Mawangdui.paridad_forzada	0	
cuenta.R1.Mawangdui.alcanzable_mas_cercano_al_esperado	1008	
cuenta.R1.Mawangdui.desviacion_minima_posible	0	
cuenta.R1.Mawangdui.fuerza.el.empate	1	criterio declarado: minimo y maximo coinciden en el valor esperado
cuenta.R1.Mawangdui.comprobacion.epsilon	929376	comprobaciones par por elemento, sobre 461 elementos del grupo de 2304
cuenta.R2.Mawangdui.orbitas	2016	
cuenta.R2.Mawangdui.orbitas_forzadas	0	
cuenta.R2.Mawangdui.orbitas_libres	2016	
cuenta.R2.Mawangdui.orbitas_de_tamano_impar	2016	
cuenta.R2.Mawangdui.aportacion_forzada	0	
cuenta.R2.Mawangdui.aportacion_libre_observada	1008	
cuenta.R2.Mawangdui.minimo	0	
cuenta.R2.Mawangdui.maximo	2016	
cuenta.R2.Mawangdui.observado	1008	
cuenta.R2.Mawangdui.anchura	2016	
cuenta.R2.Mawangdui.orbita_mayor	1	
cuenta.R2.Mawangdui.totales_alcanzables	2017	
cuenta.R2.Mawangdui.esperado_alcanzable	1	
cuenta.R2.Mawangdui.paridades_alcanzables	2	
cuenta.R2.Mawangdui.paridad_forzada	0	
cuenta.R2.Mawangdui.alcanzable_mas_cercano_al_esperado	1008	
cuenta.R2.Mawangdui.desviacion_minima_posible	0	
cuenta.R2.Mawangdui.fuerza.el.empate	0	criterio declarado: minimo y maximo coinciden en el valor esperado
cuenta.R2.Mawangdui.comprobacion.epsilon	2016	comprobaciones par por elemento, sobre 1 elementos del grupo de 1
cuenta.solo.complementacion.JingFang.orbitas	1024	
cuenta.solo.complementacion.JingFang.orbitas_forzadas	496	
cuenta.solo.complementacion.JingFang.orbitas_libres	528	
cuenta.solo.complementacion.JingFang.orbitas_de_tamano_impar	32	
cuenta.solo.complementacion.JingFang.aportacion_forzada	496	
cuenta.solo.complementacion.JingFang.aportacion_libre_observada	512	
cuenta.solo.complementacion.JingFang.minimo	496	
cuenta.solo.complementacion.JingFang.maximo	1520	
cuenta.solo.complementacion.JingFang.observado	1008	
cuenta.solo.complementacion.JingFang.anchura	1024	
cuenta.solo.complementacion.JingFang.orbita_mayor	2	
cuenta.solo.complementacion.JingFang.totales_alcanzables	1025	
cuenta.solo.complementacion.JingFang.esperado_alcanzable	1	
cuenta.solo.complementacion.JingFang.paridades_alcanzables	2	
cuenta.solo.complementacion.JingFang.paridad_forzada	0	
cuenta.solo.complementacion.JingFang.alcanzable_mas_cercano_al_esperado	1008	
cuenta.solo.complementacion.JingFang.desviacion_minima_posible	0	
cuenta.solo.complementacion.JingFang.fuerza.el.empate	0	criterio declarado: minimo y maximo coinciden en el valor esperado
