# Cada linea es una cifra medida en esta ejecucion.
# clave	valor	nota
fuente.commit	d6afae20bbefba56728251f34f8e3870c43e2cbd	kingwen-orderings-replication en la etiqueta zenodo-v3
fuente.tree	18e55dd409b97c8794b1aa74d11a6bd892860bfd	arbol de la etiqueta
fuente.fichero.sha256	1efd0521f3f3e31a718504fdf1a9fa42b9a015d709fdaaf0b2f4a76b88ac2a9e	verify_paper.py del que salen las secuencias
denominador	2016	C(64,2), fijado en PREREGISTRATION.md
valor.esperado.por.azar	1008	mitad del denominador, media de una ordenacion al azar
reconstruccion.coincide.Mawangdui	1	1 si la construccion redderivada aqui reproduce la secuencia extraida
reconstruccion.coincide.JingFang	1	1 si la construccion redderivada aqui reproduce la secuencia extraida
reconstruccion.coincide.KingWen	0	King Wen no se reconstruye: es el dato recibido, no una construccion generable
inv.Mawangdui.yang1.bottomMSB	1008	tasa 0.500000 sobre C(64,2)
inv.Mawangdui.yang1.bottomLSB	1008	tasa 0.500000 sobre C(64,2)
inv.Mawangdui.yang0.bottomMSB	1008	tasa 0.500000 sobre C(64,2)
inv.Mawangdui.yang0.bottomLSB	1008	tasa 0.500000 sobre C(64,2)
inv.JingFang.yang1.bottomMSB	1008	tasa 0.500000 sobre C(64,2)
inv.JingFang.yang1.bottomLSB	1008	tasa 0.500000 sobre C(64,2)
inv.JingFang.yang0.bottomMSB	1008	tasa 0.500000 sobre C(64,2)
inv.JingFang.yang0.bottomLSB	1008	tasa 0.500000 sobre C(64,2)
inv.KingWen.yang1.bottomMSB	1013	tasa 0.502480 sobre C(64,2)
inv.KingWen.yang1.bottomLSB	1013	tasa 0.502480 sobre C(64,2)
inv.KingWen.yang0.bottomMSB	1003	tasa 0.497520 sobre C(64,2)
inv.KingWen.yang0.bottomLSB	1003	tasa 0.497520 sobre C(64,2)
convenciones.distintas.en.una.ordenacion.de.prueba	4	recuentos distintos que dan las cuatro convenciones sobre una ordenacion barajada con la semilla del control
clausura.Mawangdui.pares.conservados	968	pares en los que pi conserva el orden relativo
clausura.Mawangdui.inversiones.forzadas	484	exactamente la mitad de los pares conservados
clausura.Mawangdui.pares.libres	1048	pares en los que pi invierte el orden relativo
clausura.Mawangdui.inversiones.libres	524	no forzadas por la clausura
clausura.Mawangdui.libres.mitad	524	lo que aportaria la clase libre si tambien se partiera por la mitad
clausura.Mawangdui.desviacion.en.la.clase.libre	0	toda la desviacion respecto del valor esperado vive aqui
clausura.Mawangdui.total	1008	suma de las dos partes
clausura.JingFang.pares.conservados	992	pares en los que pi conserva el orden relativo
clausura.JingFang.inversiones.forzadas	496	exactamente la mitad de los pares conservados
clausura.JingFang.pares.libres	1024	pares en los que pi invierte el orden relativo
clausura.JingFang.inversiones.libres	512	no forzadas por la clausura
clausura.JingFang.libres.mitad	512	lo que aportaria la clase libre si tambien se partiera por la mitad
clausura.JingFang.desviacion.en.la.clase.libre	0	toda la desviacion respecto del valor esperado vive aqui
clausura.JingFang.total	1008	suma de las dos partes
