# El residuo de 5: anatomia y simetrias extendidas.
# clave	valor	nota
grupo.orden	384	el centralizador del giro, ya demostrado
herencia.el.orden.del.grupo.es.384	1	
orbitas	36	
orbitas.libres	19	
observado	1013	
intervalo.minimo	957	
intervalo.maximo	1059	
herencia.observado.es.1013	1	
herencia.orbitas.libres.son.19	1	
herencia.intervalo.es.957.a.1059	1	
f1.orbita.00.cardinal	192	
f1.orbita.00.mitad	96	
f1.orbita.00.aportacion	90	
f1.orbita.00.desviacion	-6	
f1.orbita.01.cardinal	96	
f1.orbita.01.mitad	48	
f1.orbita.01.aportacion	50	
f1.orbita.01.desviacion	2	
f1.orbita.02.cardinal	96	
f1.orbita.02.mitad	48	
f1.orbita.02.aportacion	52	
f1.orbita.02.desviacion	4	
f1.orbita.03.cardinal	96	
f1.orbita.03.mitad	48	
f1.orbita.03.aportacion	46	
f1.orbita.03.desviacion	-2	
f1.orbita.04.cardinal	96	
f1.orbita.04.mitad	48	
f1.orbita.04.aportacion	46	
f1.orbita.04.desviacion	-2	
f1.orbita.05.cardinal	96	
f1.orbita.05.mitad	48	
f1.orbita.05.aportacion	46	
f1.orbita.05.desviacion	-2	
f1.orbita.06.cardinal	96	
f1.orbita.06.mitad	48	
f1.orbita.06.aportacion	46	
f1.orbita.06.desviacion	-2	
f1.orbita.07.cardinal	96	
f1.orbita.07.mitad	48	
f1.orbita.07.aportacion	46	
f1.orbita.07.desviacion	-2	
f1.orbita.08.cardinal	96	
f1.orbita.08.mitad	48	
f1.orbita.08.aportacion	54	
f1.orbita.08.desviacion	6	
f1.orbita.09.cardinal	96	
f1.orbita.09.mitad	48	
f1.orbita.09.aportacion	52	
f1.orbita.09.desviacion	4	
f1.orbita.10.cardinal	48	
f1.orbita.10.mitad	24	
f1.orbita.10.aportacion	28	
f1.orbita.10.desviacion	4	
f1.orbita.11.cardinal	48	
f1.orbita.11.mitad	24	
f1.orbita.11.aportacion	22	
f1.orbita.11.desviacion	-2	
f1.orbita.12.cardinal	48	
f1.orbita.12.mitad	24	
f1.orbita.12.aportacion	22	
f1.orbita.12.desviacion	-2	
f1.orbita.13.cardinal	24	
f1.orbita.13.mitad	12	
f1.orbita.13.aportacion	16	
f1.orbita.13.desviacion	4	
f1.orbita.14.cardinal	12	
f1.orbita.14.mitad	6	
f1.orbita.14.aportacion	5	
f1.orbita.14.desviacion	-1	
f1.orbita.15.cardinal	12	
f1.orbita.15.mitad	6	
f1.orbita.15.aportacion	8	
f1.orbita.15.desviacion	2	
f1.orbita.16.cardinal	12	
f1.orbita.16.mitad	6	
f1.orbita.16.aportacion	4	
f1.orbita.16.desviacion	-2	
f1.orbita.17.cardinal	4	
f1.orbita.17.mitad	2	
f1.orbita.17.aportacion	3	
f1.orbita.17.desviacion	1	
f1.orbita.18.cardinal	4	
f1.orbita.18.mitad	2	
f1.orbita.18.aportacion	3	
f1.orbita.18.desviacion	1	
f1.suma.de.desviaciones	5	tiene que ser 1013 menos 1008
f1.la.suma.de.desviaciones.es.5	1	
f1.orbitas.con.desviacion.no.nula	19	
f1.orbita.00.A1.pares.con.el.mismo.nuclear	0	
f1.orbita.00.A2.pares.dentro.de.una.misma.mitad	104	
f1.orbita.00.pares.dentro.de.un.mismo.par.de.KW	0	
f1.orbita.01.A1.pares.con.el.mismo.nuclear	0	
f1.orbita.01.A2.pares.dentro.de.una.misma.mitad	40	
f1.orbita.01.pares.dentro.de.un.mismo.par.de.KW	0	
f1.orbita.02.A1.pares.con.el.mismo.nuclear	0	
f1.orbita.02.A2.pares.dentro.de.una.misma.mitad	40	
f1.orbita.02.pares.dentro.de.un.mismo.par.de.KW	0	
f1.orbita.03.A1.pares.con.el.mismo.nuclear	0	
f1.orbita.03.A2.pares.dentro.de.una.misma.mitad	40	
